Country,total_revenue,total_quantity,num_invoices,population_2023
Australia,137077.27,83653,69,26658948.0
Austria,10154.32,4827,19,9131761.0
Bahrain,548.4,260,4,1577059.0
Belgium,40910.96,23152,119,11787423.0
Brazil,1143.6,356,1,211140729.0
Canada,3666.38,2763,6,40097761.0
Channel Islands,20086.29,9479,33,167691.0
Cyprus,12946.29,6317,20,1344976.0
Czech Republic,707.72,592,5,
Denmark,18768.14,8188,21,5946952.0
EIRE,263276.82,142637,360,
European Community,1291.75,497,5,
Finland,22326.74,10666,48,5583911.0
France,197403.9,110480,461,68287487.0
Germany,221698.21,117448,603,83280000.0
Greece,4710.52,1556,6,10405588.0
Hong Kong,10117.04,4769,15,
Iceland,4310.0,2458,7,393349.0
Israel,7907.82,4353,9,9756600.0
Italy,16890.51,7999,55,58993475.0
Japan,35340.62,25218,28,124516650.0
Lebanon,1693.88,386,1,5773493.0
Lithuania,1661.06,652,4,2871585.0
Malta,2505.47,944,10,552747.0
Netherlands,284661.54,200128,101,17877117.0
Norway,35163.46,19247,40,5519594.0
Poland,7213.14,3653,24,36687353.0
Portugal,29367.02,16180,71,10578174.0
RSA,1002.31,352,1,
Saudi Arabia,131.17,75,2,33264292.0
Singapore,9120.39,5234,10,5917648.0
Spain,54774.58,26824,105,48347910.0
Sweden,36595.91,35637,46,10536632.0
Switzerland,56385.35,30325,74,8888093.0
USA,1730.92,1034,7,
United Arab Emirates,1902.28,982,3,10483751.0
United Kingdom,8187806.364,4263829,23494,68350000.0
Unspecified,4749.79,3300,13,
